ticker,name,sector,price,shares_outstanding,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditures,total_debt,cash,total_equity,total_assets,current_assets,current_liabilities,market_cap,free_cash_flow,gross_margin,operating_margin,net_margin,current_ratio,debt_to_equity,book_value_per_share,revenue_per_share,eps,fcf_per_share,pe_ratio,pb_ratio,ps_ratio,fcf_yield,enterprise_value,ev_to_ebit,ev_to_sales,ev_to_fcf,roe,roa
AAPL,Apple Inc.,Technology,255.919998,14681140000,416161000000.000000,195201000000.000000,133050000000.000000,112010000000.000000,111482000000.000000,-12715000000.000000,98657000000.000000,35934000000.000000,73733000000.000000,359241000000.000000,147957000000.000000,165631000000.000000,3757197321918.029785,98767000000.000000,0.469052,0.319708,0.269151,0.893293,1.338030,5.022294,28.346641,7.629517,6.727475,33.543410,50.956794,9.028230,0.026287,3819920321918.029785,28.710412,9.178948,38.676079,1.519130,0.311796
ADBE,Adobe Inc.,Technology,242.919998,404200000,23769000000.000000,21218000000.000000,8706000000.000000,7130000000.000000,10031000000.000000,-179000000.000000,6648000000.000000,5431000000.000000,11623000000.000000,29496000000.000000,10163000000.000000,10200000000.000000,98188263259.887695,9852000000.000000,0.892675,0.366275,0.299971,0.996373,0.571969,28.755567,58.805047,17.639782,24.374072,13.771145,8.447756,4.130938,0.100338,99405263259.887695,11.418018,4.182139,10.089856,0.613439,0.241728
ADI,"Analog Devices, Inc.",Technology,318.339996,488204157,11019707000.000000,6773478000.000000,3002476000.000000,2267342000.000000,4812202000.000000,-533552000.000000,8664610000.000000,2499406000.000000,33815755000.000000,47992712000.000000,7108061000.000000,3245801000.000000,155414909551.522980,4278650000.000000,0.614670,0.272464,0.205753,2.189925,0.256230,69.265602,22.571924,4.644250,8.764059,68.544979,4.595932,14.103361,0.027530,161580113551.522980,53.815622,14.662832,37.764275,0.067050,0.047243
ADP,"Automatic Data Processing, Inc.",Technology,204.009995,402644364,20560900000.000000,9463600000.000000,5411900000.000000,4079700000.000000,4939700000.000000,-547000000.000000,9065400000.000000,3347800000.000000,6188000000.000000,53369300000.000000,43252200000.000000,41278300000.000000,82143474487.848450,4392700000.000000,0.460272,0.263213,0.198420,1.047819,1.464997,15.368401,51.064666,10.132266,10.909627,20.134685,13.274640,3.995130,0.053476,87861074487.848450,16.234793,4.273212,20.001611,0.659292,0.076443
ADSK,"Autodesk, Inc.",Technology,238.080002,211000000,7206000000.000000,6556000000.000000,1794000000.000000,1124000000.000000,2452000000.000000,-76000000.000000,2734000000.000000,2249000000.000000,3045000000.000000,12467000000.000000,4942000000.000000,5808000000.000000,50234880386.352539,2376000000.000000,0.909797,0.248959,0.155981,0.850895,0.897865,14.431280,34.151659,5.327014,11.260664,44.692954,16.497498,6.971257,0.047298,50719880386.352539,28.271951,7.038562,21.346751,0.369130,0.090158
AEP,"American Electric Power Company, Inc.",Utilities,132.679993,543563480,21876000000.000000,13346000000.000000,5385000000.000000,3580000000.000000,6944000000.000000,-8583000000.000000,49508000000.000000,197000000.000000,31138000000.000000,114460000000.000000,6052000000.000000,13314000000.000000,72119998545.222168,-1639000000.000000,0.610075,0.246160,0.163650,0.454559,1.589954,57.284938,40.245529,6.586167,-3.015287,20.145251,2.316141,3.296764,-0.022726,121430998545.222168,22.549860,5.550878,-74.088468,0.114972,0.031277
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,318.850006,132623144,3713937000.000000,3032066000.000000,501578000.000000,313747000.000000,524080000.000000,-58697000.000000,1278389000.000000,1657250000.000000,789176000.000000,4966331000.000000,4050662000.000000,1466349000.000000,42286890273.867432,465383000.000000,0.816402,0.135053,0.084478,2.762413,1.619904,5.950515,28.003687,2.365703,3.509063,134.780222,53.583599,11.386001,0.011005,41908029273.867432,83.552367,11.283990,90.050623,0.397563,0.063175
AMAT,"Applied Materials, Inc.",Technology,348.470001,793609867,28368000000.000000,13808000000.000000,8470000000.000000,6998000000.000000,7958000000.000000,-2260000000.000000,7050000000.000000,7241000000.000000,20415000000.000000,36299000000.000000,20881000000.000000,7999000000.000000,276549231322.252075,5698000000.000000,0.486746,0.298576,0.246686,2.610451,0.345334,25.724227,35.745523,8.817935,7.179850,39.518324,13.546374,9.748633,0.020604,276358231322.252075,32.627890,9.741900,48.500918,0.342787,0.192788
AMD,"Advanced Micro Devices, Inc.",Technology,217.500000,1630338779,34639000000.000000,17152000000.000000,3694000000.000000,4335000000.000000,7709000000.000000,-974000000.000000,3847000000.000000,5539000000.000000,62999000000.000000,76926000000.000000,26947000000.000000,9455000000.000000,354598684432.500000,6735000000.000000,0.495164,0.106643,0.125148,2.850026,0.061064,38.641662,21.246504,2.658957,4.131043,81.799004,5.628640,10.236978,0.018993,352906684432.500000,95.535107,10.188131,52.398914,0.068811,0.056353
AMGN,Amgen Inc.,Healthcare,347.940002,539067675,36751000000.000000,24714000000.000000,9080000000.000000,7711000000.000000,9958000000.000000,-1858000000.000000,54604000000.000000,9129000000.000000,8658000000.000000,90586000000.000000,29057000000.000000,25489000000.000000,187563208155.583191,8100000000.000000,0.672471,0.247068,0.209817,1.139982,6.306768,16.061063,68.175114,14.304326,15.025943,24.324109,21.663572,5.103622,0.043185,233038208155.583191,25.665001,6.341003,28.770149,0.890621,0.085124
AMZN,"Amazon.com, Inc.",Consumer Cyclical,209.770004,10734920870,716924000000.000000,360510000000.000000,79975000000.000000,77670000000.000000,139514000000.000000,-131819000000.000000,152987000000.000000,86810000000.000000,411065000000.000000,818042000000.000000,229083000000.000000,218005000000.000000,2251864396764.430176,7695000000.000000,0.502857,0.111553,0.108338,1.050815,0.372172,38.292318,66.784284,7.235265,0.716819,28.992718,5.478122,3.141009,0.003417,2318041396764.430176,28.984575,3.233315,301.239948,0.188948,0.094946
APP,AppLovin Corporation,Communication Services,386.369995,307070000,5480717000.000000,4815577000.000000,4151914000.000000,3333764000.000000,3971094000.000000,-28318000.000000,3544741000.000000,2487096000.000000,2134671000.000000,7259610000.000000,4430792000.000000,1333788000.000000,118642634400.634766,3942776000.000000,0.878640,0.757549,0.608272,3.321961,1.660556,6.951741,17.848429,10.856691,12.839991,35.588192,55.578885,21.647283,0.033232,119700279400.634766,28.830144,21.840259,30.359391,1.561723,0.459221
ARM,Arm Holdings plc,Technology,149.110001,1061998569,4007000000.000000,3886000000.000000,831000000.000000,792000000.000000,397000000.000000,-239000000.000000,356000000.000000,2085000000.000000,6839000000.000000,8932000000.000000,4830000000.000000,929000000.000000,158354607271.782471,158000000.000000,0.969803,0.207387,0.197654,5.199139,0.052054,6.439745,3.773075,0.745764,0.148776,199.942686,23.154644,39.519493,0.000998,156625607271.782471,188.478468,39.087998,991.301312,0.115806,0.088670
ASML,ASML Holding N.V.,Technology,1317.229980,385417665,32667300000.000000,17258000000.000000,11301400000.000000,9609400000.000000,12658500000.000000,-1631200000.000000,4390900000.000000,12916000000.000000,19612200000.000000,50566600000.000000,30616100000.000000,24263900000.000000,507683703340.261230,11027300000.000000,0.528296,0.345955,0.294160,1.261796,0.223886,50.885576,84.758180,24.932433,28.611299,52.831988,25.886117,15.541037,0.021721,499158603340.261230,44.167856,15.280069,45.265714,0.489971,0.190035
AVGO,Broadcom Inc.,Technology,314.549988,4734668184,63887000000.000000,43294000000.000000,26075000000.000000,23126000000.000000,27537000000.000000,-623000000.000000,65136000000.000000,16178000000.000000,81292000000.000000,171092000000.000000,31573000000.000000,18514000000.000000,1489289819480.957520,26914000000.000000,0.677665,0.408143,0.361983,1.705358,0.801260,17.169524,13.493448,4.884397,5.684453,64.398937,18.320251,23.311312,0.018072,1538247819480.957520,58.993205,24.077634,57.154188,0.284481,0.135167
AXON,"Axon Enterprise, Inc.",Industrials,412.809998,80397675,2779536000.000000,1658125000.000000,-62076000.000000,124656000.000000,211339000.000000,-136258000.000000,1909664000.000000,1201147000.000000,3242658000.000000,7000313000.000000,3713052000.000000,1470147000.000000,33188964020.466614,75081000.000000,0.596547,-0.022333,0.044848,2.525633,0.588919,40.332734,34.572343,1.550493,0.933870,266.244417,10.235111,11.940469,0.002262,33897481020.466614,-546.064196,12.195374,451.478816,0.038443,0.017807
BKR,Baker Hughes Company,Energy,60.380001,991757347,27733000000.000000,6544000000.000000,3557000000.000000,2588000000.000000,3810000000.000000,-1273000000.000000,6087000000.000000,3715000000.000000,18834000000.000000,40881000000.000000,18828000000.000000,13877000000.000000,59882309671.171127,2537000000.000000,0.235964,0.128259,0.093318,1.356777,0.323192,18.990532,27.963493,2.609509,2.558085,23.138450,3.179479,2.159244,0.042366,62254309671.171127,17.501914,2.244774,24.538553,0.137411,0.063306
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,92.480003,445756569,20901000000.000000,7440000000.000000,2792000000.000000,1942000000.000000,2953000000.000000,-950000000.000000,10694000000.000000,918000000.000000,7835000000.000000,29872000000.000000,6079000000.000000,7585000000.000000,41223568997.495201,2003000000.000000,0.355964,0.133582,0.092914,0.801450,1.364901,17.576858,46.888821,4.356638,4.493484,21.227378,5.261464,1.972325,0.048589,50999568997.495201,18.266321,2.440054,25.461592,0.247862,0.065011
